handle,text,url,earliest_date,is_story,domain
theblaze,"'I think if he runs, he could hurt himself very badly': Trump threatens to dish unflattering info on DeSantis if the Florida governor runs for president",https://www.theblaze.com/news/trump-threatens-unflattering-info-desantis,2022-11-09,True,theblaze.com
foxnews,'I'M READY TO COMPROMISE',https://www.foxnews.com/politics/biden-break-silence-midterms-wednesday-wh-address,2022-11-09,True,foxnews.com
RedState,"'Illegal Electioneering' for PA Dems Fetterman, Shapiro Caught on Camera: Project Veritas",https://townhall.com/tipsheet/miacathell/2022/11/09/project-veritas-illegal-electioneering-fetterman-shapiro-n2615691,2022-11-08,True,townhall.com
WashTimes,'It's a lie': White House rejects claim that pro-life activists targeted for federal arrest,https://www.washingtontimes.com/news/2022/nov/7/karine-jean-pierre-rejects-claim-pro-life-activist/,2022-11-08,True,washingtontimes.com
theblaze,"'Just waiting to die': American tourist mugged, butchered, and left for dead in Cancún, Mexico",https://www.theblaze.com/news/just-waiting-to-die-american-tourist-mugged-butchered-and-left-for-dead-in-cancun-mexico,2022-11-10,True,theblaze.com
DRUDGE,'Knives Out for Kevin McCarthy',https://www.mediaite.com/election-2022/knives-are-out-for-kevin-mccarthy-fox-news-jacqui-heinrich-reports-gop-drama-following-underwhelming-midterms/,2022-11-09,True,mediaite.com
foxnews,'LOTS OF LUCK',https://www.foxnews.com/politics/biden-wishes-republicans-lots-of-luck-in-plans-to-investigate-hunter-business-dealings-if-they-take-majority,2022-11-09,True,foxnews.com
foxnews,'MONEY ON FIRE',https://www.foxnews.com/media/beto-orourke-stacey-abrams-razzed-repeated-losses-theyre-amazing-setting-democrat-money-fire,2022-11-09,True,foxnews.com
foxnews,'ONLY ONE CHOICE':LeBron James makes endorsement in key Senate race,https://www.foxnews.com/sports/midterm-elections-lebron-james-makes-endorsement-georgia-senate-race,2022-11-08,True,foxnews.com
WashTimes,'Problem of Whiteness' class at University of Chicago on hold after student scrutinizes course,https://www.washingtontimes.com/news/2022/nov/8/problem-whiteness-class-university-chicago-hold-af/,2022-11-08,True,washingtontimes.com
foxnews,'Re-energized' 2023 Honda Accord revealed with new style and tech,https://www.foxnews.com/auto/2023-honda-accord-revealed-style-tech,2022-11-10,True,foxnews.com
foxnews,'Republican governors have outperformed Democrat governors’: Gov. Glenn Youngkin,https://video.foxnews.com/v/6315165155112/,2022-11-08,True,foxnews.com
DRUDGE,'SORRY',https://www.msn.com/en-us/money/companies/zuckerberg-says-sorry-as-meta-begins-slashing-over-11000-jobs/ar-AA13UDdM,2022-11-09,True,msn.com
foxnews,'STAY IN FLORIDA',https://www.foxnews.com/politics/stay-in-florida-trump-attorney-tells-desantis,2022-11-08,True,foxnews.com
foxnews,"'Selling Sunset’s' Jason Oppenheim dishes on finding homes for Hollywood elite, why he was against reality TV",https://www.foxnews.com/entertainment/selling-sunset-jason-oppenheim-dishes-finding-homes-hollywood-elite-why-against-reality-tv,2022-11-10,True,foxnews.com
DRUDGE,'Squad' members cruise to reelection,https://thehill.com/homenews/campaign/3726475-squad-members-cruise-to-re-election/,2022-11-09,True,thehill.com
foxnews,'Squad'-backed Summer Lee projected winner in Pennsylvania contest,https://www.foxnews.com/politics/squad-backed-summer-lee-projected-winner-pennsylvania-matchup,2022-11-09,True,foxnews.com
DRUDGE,'Stay in Florida',https://www.thedailybeast.com/donald-trump-lawyer-alina-habba-issues-stern-warning-to-ron-desantis-on-2024,2022-11-08,True,thedailybeast.com
DRUDGE,"'Strongest speaker in history,' says Gingrich",https://www.msn.com/en-us/news/politics/with-her-political-future-unclear-nancy-pelosi-stares-down-another-midterm/ar-AA13QLmg,2022-11-08,True,msn.com
foxnews,'THIS IS A STEP BACK'Legendary coach not happy with how popular college gymnast earns money,https://www.foxnews.com/sports/legendary-basketball-coach-tara-vanderveer-takes-issue-how-popular-gymnast-olivia-dunne-earns-nil-deals,2022-11-10,True,foxnews.com
RedState,'The View' Host Raises a Question About Election That Has Everyone Talking,https://redstate.com/nick-arama/2022/11/08/the-view-host-raises-a-question-about-election-that-has-everyone-talking-n656149,2022-11-08,True,redstate.com
foxnews,'The View' host Joy Behar fumes at Americans not creating Democratic 'supermajority' in midterms,https://www.foxnews.com/media/the-view-host-joy-behar-fumes-americans-not-creating-democratic-supermajority-midterms,2022-11-10,True,foxnews.com
foxnews,'The View' host Sunny Hostin declares Joe Biden the real 'winner' after midterms,https://www.foxnews.com/media/the-view-host-sunny-hostin-declares-joe-biden-the-real-winner-after-midterms,2022-11-09,True,foxnews.com
worldnetdaily,'Travel and dining out': News anchor reveals what student-loan forgiveness buys,https://www.wnd.com/2022/11/travel-dining-news-anchor-reveals-student-loan-forgiveness-buys/,2022-11-09,True,wnd.com
dcexaminer,'Veterans were being lost in this shuffle': Vietnam War memorial marks 40-year anniversary,https://www.washingtonexaminer.com/policy/defense-national-security/vietnam-war-memorial-40-year-anniversary,2022-11-10,True,washingtonexaminer.com
dcexaminer,'Vote for Your Daughter': DC artist paints and displays statues of 51 girls on Capitol grounds,https://www.washingtonexaminer.com/news/vote-for-your-daughter-dc-artist-paints-displays-51-girls-us-capitol-grounds,2022-11-08,True,washingtonexaminer.com
foxnews,'WORST FREAKING NIGHTMARE',https://www.foxnews.com/media/kari-lake-medias-worst-freaking-nightmare-eight-years-vows-reform-media,2022-11-08,True,foxnews.com
RedState,'We Should Know the Results': Respected Pollster Says All Ballots Should Be Counted on Election Day,https://redstate.com/mike_miller/2022/11/10/we-should-know-the-results-respected-pollster-says-all-ballots-should-be-counted-on-election-day-n657162,2022-11-10,True,redstate.com
DRUDGE,'YELLOWSTONE': HOW TAYLOR SHERIDAN CREATED AMERICA'S MOST POPULAR TV SHOW,https://www.theatlantic.com/magazine/archive/2022/12/yellowstone-tv-series-taylor-sheridan/671897/,2022-11-10,True,theatlantic.com
RedState,'You Do Not Reward Mediocrity': Calls Grow for Kevin McCarthy and Other GOP Leaders to Be Replaced,https://redstate.com/terichristoph/2022/11/10/you-do-not-reward-mediocrity-calls-grow-for-kevin-mccarthy-and-other-gop-leaders-to-be-replaced-n657183,2022-11-10,True,redstate.com
powerlineus,1 Response,https://www.powerlineblog.com/archives/2022/11/the-daily-chart-campaign-bog-spenders.php#disqus_thread,2022-11-08,True,powerlineblog.com
worldnetdaily,"1 high school student dead, 4 in hospital after possible fentanyl exposure at school",https://www.wnd.com/2022/11/1-high-school-student-dead-4-hospital-possible-fentanyl-exposure-school/,2022-11-10,True,wnd.com
EpochTimes,"1 in 6 Hiring Managers Told to Deprioritize White Men, Study Finds",https://www.theepochtimes.com/1-in-6-hiring-managers-told-to-deprioritize-white-men-study-finds_4852875.html,2022-11-09,True,theepochtimes.com
