twitter,url,name,location,timezone,country,language,bundle,wait,no_adguard
wsj,https://www.wsj.com/,Wall Street Journal,New York City,America/New_York,US,en,us-national,,
theeconomist,https://www.economist.com/,Economist,London,Europe/London,GB,en,,,
foxnews,https://www.foxnews.com/,Fox News,New York City,America/New_York,US,en,us-national|us-right-wing,,
nytimes,https://www.nytimes.com,New York Times,New York City,America/New_York,US,en,us-national|new-york-city|new-york-state,,
ft,https://ft.com/?edition=uk,Financial Times,London,Europe/London,GB,en,,,
independent,https://www.independent.co.uk/news/uk,The Independent,London,Europe/London,GB,en,,,
